price,location,area,bedrooms,bathrooms,purpose,property_type
39000000.0,"DHA 9 Town - Block A, DHA 9 Town, DHA Defence, Lahore, Punjab",8.0,4.0,4.0,For Sale,House
41000000.0,"Faisal Town - Block C, Faisal Town, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
87500000.0,"Bahria Town - Janiper Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab",20.0,5.0,7.0,For Sale,House
39900000.0,"Bahria Town - Block DD, Bahria Town - Sector D, Bahria Town, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
170000000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,7.0,7.0,For Sale,House
18800000.0,"Palm City, Ferozepur Road, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
29900000.000000004,"DHA Phase 5 - Block D, DHA Phase 5, DHA Defence, Lahore, Punjab",5.0,3.0,3.0,For Sale,House
24900000.000000004,"DHA Phase 6 - Block D, DHA Phase 6, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
22900000.0,"DHA 9 Town - Block C, DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,3.0,For Sale,House
20500000.0,"DHA 9 Town - Block A, DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
28900000.0,"DHA Phase 3 - Block Z, DHA Phase 3, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
28000000.0,"DHA Phase 5 - Block B, DHA Phase 5, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
19900000.0,"DHA Phase 4 - Block JJ, DHA Phase 4, DHA Defence, Lahore, Punjab",5.0,3.0,3.0,For Sale,House
70000000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
71500000.0,"Lake City - Sector M-3A, Lake City, Raiwind Road, Lahore, Punjab",12.0,5.0,7.0,For Sale,House
74500000.0,"Lake City - Sector M-3, Lake City, Raiwind Road, Lahore, Punjab",20.0,7.0,7.0,For Sale,House
49000000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",10.0,4.0,5.0,For Sale,House
72500000.0,"DHA Phase 4 - Block CC, DHA Phase 4, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
97500000.0,"OPF Housing Scheme - Block C, OPF Housing Scheme, Lahore, Punjab",16.0,7.0,6.0,For Sale,House
48000000.0,"Dream Gardens Phase 2, Dream Gardens, Defence Road, Lahore, Punjab",10.0,5.0,7.0,For Sale,House
57500000.0,"Punjab Coop Housing Society, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
71500000.0,"DHA Phase 7 - Block T, DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
84000000.0,"DHA Phase 6 - Block E, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
80000000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
44900000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",10.0,4.0,6.0,For Sale,House
44500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",10.0,5.0,7.0,For Sale,House
25000000.0,"Central Park - Block A, Central Park Housing Scheme, Lahore, Punjab",10.0,6.0,7.0,For Sale,House
139500000.0,"DHA Phase 2, DHA Defence, Lahore, Punjab",40.0,6.0,7.0,For Sale,House
10000000.0,"Gulberg, Lahore, Punjab",2.0,1.0,1.0,For Sale,House
26900000.0,"DHA Phase 3 - Block XX, DHA Phase 3, DHA Defence, Lahore, Punjab",5.0,3.0,3.0,For Sale,House
18500000.0,"DHA 9 Town - Block B, DHA 9 Town, DHA Defence, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
14500000.0,"New Lahore City, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
69000000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",10.0,4.0,4.0,For Sale,House
72500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
70000000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
71500000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
95000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
27500000.0,"Bahria Town - Jasmine Block, Bahria Town - Sector C, Bahria Town, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
75500000.0,"DHA Phase 7, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
125000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
91100000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",22.0,5.0,6.0,For Sale,House
590000000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",40.0,6.0,7.0,For Sale,House
160000000.0,"DHA Phase 6 - Block J, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
77500000.0,"DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,3.0,4.0,For Sale,House
77500000.0,"DHA Phase 6 - Block B, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,3.0,4.0,For Sale,House
25000000.0,"Eden Palace Villas, Eden, Lahore, Punjab",7.0,4.0,5.0,For Sale,House
112000000.0,"DHA Phase 6 - Block B, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,6.0,7.0,For Sale,House
86500000.0,"DHA Phase 6 - Block J, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
11000000.0,"Park View City, Lahore, Punjab",3.5,3.0,4.0,For Sale,House
91500000.0,"DHA Phase 6 - Block L, DHA Phase 6, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
24000000.0,"Lake City Meadows, Lahore, Punjab",5.0,3.0,4.0,For Sale,House
85000000.0,"DHA Phase 5, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
44000000.0,"DHA Phase 8, DHA Defence, Lahore, Punjab",10.0,5.0,6.0,For Sale,House
67500000.0,"DHA Phase 4, DHA Defence, Lahore, Punjab",20.0,5.0,6.0,For Sale,House
70000000.0,"DHA Phase 3, DHA Defence, Lahore, Punjab",20.0,5.0,5.0,For Sale,House
